square_footage,bedrooms,bathrooms,house_age_years,location_score,price
2948,5,5.0,49,7,589200
1902,3,4.0,14,6,428400
1003,1,1.0,27,6,285400
1557,2,2.5,41,10,424600
1064,2,2.5,15,5,264900
2145,3,4.0,11,5,420100
1523,2,2.5,51,8,371000
1800,3,4.0,4,4,396800
3155,6,5.0,33,4,599100
1488,3,3.5,41,4,346900
2114,3,4.0,0,5,487100
2323,4,5.0,38,5,465100
2679,3,4.5,31,7,525900
1758,3,4.0,25,5,371500
1699,4,4.0,16,7,449600
1686,2,3.0,47,7,386400
2047,2,3.0,58,4,332300
2904,4,5.0,26,7,587500
1661,2,2.5,23,7,395500
808,1,1.0,34,2,176400
2411,3,4.5,45,6,492200
1857,2,3.0,41,4,333800
2146,3,4.5,53,8,520000
1075,2,2.0,38,4,269500
1525,2,3.0,25,3,273200
2344,4,5.0,48,5,474100
1194,2,2.5,37,4,290900
2113,4,4.5,22,7,455700
1796,2,3.0,21,4,380400
1423,3,3.5,3,5,402300
1387,1,2.0,48,9,343300
1294,2,1.5,58,8,341000
1854,3,4.0,8,6,435700
1924,3,4.5,3,5,456600
1609,1,2.0,6,6,359400
1270,1,1.5,22,7,295700
2093,3,4.0,1,4,455300
2426,3,4.5,48,7,474900
2218,3,4.5,23,3,472900
3428,4,5.0,39,7,652900
1711,3,4.0,54,3,330300
2803,3,5.0,30,9,618100
1466,2,2.5,46,7,353700
1392,2,3.0,30,2,278500
1891,2,3.5,46,5,369900
3020,5,5.0,39,4,505900
1650,3,3.0,47,4,359600
1075,1,2.0,50,6,235300
2410,3,4.0,42,4,430400
1771,1,2.5,33,7,399800
2002,3,4.0,54,7,427700
1415,1,2.0,23,6,334200
1885,3,4.5,48,5,374900
1122,1,1.5,59,7,277400
3250,5,5.0,25,7,636600
2562,3,4.0,15,6,488200
1857,2,3.0,56,3,384000
2387,4,5.0,46,4,449500
1467,2,3.0,12,5,381500
2522,4,5.0,14,3,478400
1627,3,4.5,26,6,361000
1590,1,2.0,3,8,362900
1321,2,3.0,15,8,377400
2084,3,4.0,29,7,488400
1831,2,3.0,43,7,449500
2834,4,5.0,29,10,620800
1274,2,3.0,35,7,312900
2087,3,4.5,2,7,489400
2647,4,5.0,21,3,473500
3984,6,5.0,48,8,741900
1936,4,4.5,21,6,424300
1617,1,2.0,49,5,274300
1919,3,4.0,56,5,432200
2754,5,5.0,49,4,510300
2754,4,5.0,54,8,566700
1748,3,4.5,59,5,408200
2737,5,5.0,48,4,561400
1803,3,3.5,11,4,404900
2378,4,5.0,54,6,492900
2168,4,5.0,20,5,478700
1596,2,2.5,55,4,312700
1336,2,3.0,3,3,306700
2671,4,5.0,30,7,556100
2929,5,5.0,43,5,535300
2071,2,2.5,30,3,375000
1802,4,4.0,57,5,401900
1224,2,2.5,22,7,349800
2648,3,3.5,53,6,508200
1992,3,4.5,52,6,397600
1668,1,2.0,19,6,393400
2401,4,5.0,14,3,496800
1157,2,3.5,22,7,338400
1301,1,2.0,27,2,266000
1450,2,2.5,15,6,347100
2145,4,5.0,36,7,505200
1926,2,4.0,20,5,389800
2229,2,2.5,14,6,480000
2585,5,5.0,16,5,544800
2256,5,5.0,49,6,504400
3275,5,5.0,36,7,627400
2583,4,5.0,12,4,470600
1746,3,4.0,18,7,449600
1521,2,2.5,29,9,364500
1763,2,2.0,44,6,392000
2282,4,5.0,17,4,448000
1573,3,3.0,13,10,402600
2303,4,4.0,35,6,478900
2215,3,4.0,35,6,489900
1330,3,3.5,19,6,332000
2566,3,4.5,51,6,540400
2047,3,4.0,18,5,450100
3216,5,5.0,44,6,607800
1805,4,4.5,43,7,425200
1644,3,3.0,6,5,370100
1278,2,2.5,56,5,307100
1271,2,3.0,43,5,329200
2461,4,5.0,52,3,441500
3098,5,5.0,3,4,560100
1755,1,2.0,58,4,318300
1719,2,3.0,33,5,401600
1859,3,3.0,1,7,407200
2627,3,4.5,4,8,589800
1333,2,3.0,54,6,326000
1963,3,3.5,9,6,395700
2480,5,5.0,31,6,510600
2136,4,5.0,41,1,408100
740,1,2.0,40,3,240800
2260,3,4.0,12,7,459000
